articulo,descripcion_conducta
ARTICULO 269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES
ARTICULO 269A,ACCESO ABUSIVO A UN SISTEMA INFORMATICO
ARTICULO 269F,VIOLACION DE DATOS PERSONALES
ARTICULO 269B,OBSTACULIZACION ILEGITIMA DE SISTEMA INFORMATICO O RED DE TELECOMUNICACION
ARTICULO 269C,INTERCEPTACION DE DATOS INFORMATICOS
ARTICULO 269D,DAÑO INFORMATICO
ARTICULO 269G,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES
ARTICULO 269J,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS
ARTICULO 269H,CIRCUNSTANCIAS DE AGRAVACION PUNITIVA
ARTICULO 269E,USO DE SOFTWARE MALICIOSO
